Menu Item Name, Serving Size, Total Calories, Total Fat (g), Sat Fat (g), Trans Fat (g), Cholesterol (mg), Sodium (mg), Carb (g), Dietary Fiber (g), Sugar (g), Protein (g)
'Kids Combo', 1, 630.0, 40.0, 6.0, 0.0, 85.0, 1100.0, 38.0, 5.0, 5.0, 29.0
'THE 3 FINGER COMBO', 1, 1020.0, 56.0, 9.0, 0.5, 125.0, 1640.0, 81.0, 10.0, 9.0, 47.0
'THE BOX COMBO', 1, 1250.0, 68.0, 11.0, 0.5, 170.0, 2130.0, 97.0, 12.0, 16.0, 61.0
'The CANIAC Combo', 1, 1790.0, 104.0, 16.0, 1.0, 255.0, 3160.0, 124.0, 15.0, 21.0, 89.0
'The Sandwich Combo', 1, 1080.0, 54.0, 8.0, 0.5, 120.0, 1700.0, 103.0, 10.0, 13.0, 52.0
'Sweet Tea - Kid's', 12.0, 130.0, 0.0, 0.0, 0.0, 0.0, 15.0, 33.0, 0.0, 33.0, 0.0
'Sweet Tea - Reg', 22.0, 240.0, 0.0, 0.0, 0.0, 0.0, 25.0, 61.0, 0.0, 61.0, 0.0
'Sweet Tea - Lrg', 32.0, 340.0, 0.0, 0.0, 0.0, 0.0, 35.0, 88.0, 0.0, 88.0, 0.0
'Sweet Tea - Jug', 3785.41, 1380.0, 0.0, 0.0, 0.0, 0.0, 140.0, 355.0, 0.0, 355.0, 0.0
'Unsweet Tea - Kid's', 12, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'Unsweet Tea - Reg', 22, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
'Unsweet Tea - Lrg', 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0
'Unsweet Tea - Jug', 128.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0
'Lemonade - Kid's', 12.0, 150.0, 0.0, 0.0, 0.0, 0.0, 10.0, 39.0, 0.0, 38.0, 0.0
'Lemonade - Reg', 22.0, 280.0, 0.0, 0.0, 0.0, 0.0, 25.0, 72.0, 0.0, 69.0, 0.0
'Lemonade - Lrg', 32.0, 400.0, 0.0, 0.0, 0.0, 0.0, 35.0, 105.0, 0.0, 101.0, 0.0
'Lemonade - Jug', 3785.41, 1, 0, 0, 0, 130, 455, 1, 440, 1
'Half Sweet/Half Lemonade - Kid's', 12.0, 140.0, 0.0, 0.0, 0.0, 0.0, 13.0, 36.0, 0.0, 36.0, 0.0
'Half Sweet/Half Lemonade - Reg', 22.0, 260.0, 0.0, 0.0, 0.0, 0.0, 25.0, 67.0, 0.0, 65.0, 0.0
'Half Sweet/Half Lemonade - Lrg', 32.0, 370.0, 0.0, 0.0, 0.0, 0.0, 35.0, 97.0, 0.0, 95.0, 0.0
Half Unsweet/Half Lemonade - Kid's, 12, 75.0, 0.0, 0.0, 0.0, 0.0, 13.0, 20.0, 0.0, 19.0, 0.0
'Half Unsweet/Half Lemonade - Lrg', 22.0, 140.0, 0.0, 0.0, 0.0, 0.0, 25.0, 36.0, 0.0, 35.0, 0.0
'Half Unsweet/Half Lemonade', 32.0, 200.0, 0.0, 0.0, 0.0, 0.0, 38.0, 53.0, 0.0, 51.0, 0.0
'Half Sweet/Half Unsweet - Kid's', 12.0, 65.0, 0.0, 0.0, 0.0, 0.0, 15.0, 17.0, 0.0, 17.0, 0.0
