Menu Item, Serving Size (oz), Total Calories (kcal), Calories From Fat (kcal), Total Fat (g), Saturated Fat (g), Trans Fat (g), Cholesterol (mg), Sodium (mg), Total Carbohydrates (g), Dietary Fiber (g), Total Sugar (g), Protein (g)
'Barqs Root Beer', '', '', '20', '', '567', '', '270', '', '0', '', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''
'Coca-Cola', '', '0', '567', '0', '240', '0', '0', '0', '0', '0', '0', '0', '0', '90', '0', '13', '0', '0', '13', '0'
'Diet Coke', '', '20', '', '', '', '', '', '', '', '', '0', '', '', '0', '', '0', '', '0', '', '65', '', '67', '', '0', '67', '']
'Cherry Coca-Cola', '', '20', '0', '0', '0', '0', '0', '0', '0', '0', '0', '85', '1', '0', '0', '0'
'Coca-Cola', '567', '260', '0', '0', '0', '0', '0', '70'
'Zero Sugar', '20', '0', '567', '0', '0', '0', '0', '0', '0', '70', '0', '0'
'Dr Pepper', '20', '567', '0', '240', '0', '0', '0', '0', '0', '0', '0', '0', '65', '0'
'Fanta - Orange', '20', '567', '250', '0', '0', '0', '0', '75', '65', '0', '64', '0'
'Faze Sweet - Tea', '20', '0', '567', '0', '140', '0', '0', '0', '0', '0', '0', '0', '0', '65', '67', '0', '0', '66', '0'
'Faze', '0', '0', '85', '37'
'Unsweet - Tea', '20', '567', '0', '0', '0', '0', '0', '0', '0', '0', '37', '0'
'Fuze Raspberry', '20', '567', '0', '140', '0', '0', '0', '0', '0', '0', '85', '0', '0', '0', '0'
'Glaceau vitaminwater XXX 20', '567', '0', '120', '0', '0', '0', '0', '0', '0', '0', '0', '0', '85', '0', '38', '0', '0', '37', '0', '0'
'Gold Peak Sweetened Black Tea 20', '567', '190', '0', '0', '0', '65', '32', '0', '31', '0'
'Hi-C Flashin Fruit Punch', '20', '0', '567', '0', '260', '0', '0', '0', '160', '0', '61', '0', '59', '0'
'Lazianne', '20', '0', '0', '0', '0', '120', '77', '0', '69', '0'
'Mello Yello', '20', '0', '567', '0', '0', '260', '0', '0', '0', '0', '0', '0'
'Minute Maid Lemonade POM', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0'
'Juice - (3%)', '20', '0', '567', '0', '0', '240', '0', '0', '0', '0', '85', '0', '13', '0', '73', '0'
'Minute Maid Light Lemonade', '20', '0', '0', '567', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '115', '67', '0', '0', '63', '0', '0'
'Pibb - Xtra', '20', '0', '567', '0', '230', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '70', '0', '3', '0', '0', '0', '0'
'POWERade - Mountain Berry Blast', '20', '0', '567', '0', '140', '0', '0', '0', '0', '0', '0', '0', '0', '0', '90', '0', '63', '0', '0', '63', '0', '0'
'Rituals', '0', '0', '0', '0', '0', '0', '0', '0', '190', '0', '37', '0', '0', '0'
'Seagrams', '0', '20', '567', '0', '0', '0', '0', '0', '0', '36', '0'
'Ginger Ale', '20', '567', '220', '0', '0', '0'
'Sprite', '0', '0', '75', '59', '0', '0', '0', '0', '0', '0'
'Regular Chicken Platter', '18', '521', '648', '93', '10', '3', '0', '245', '1296', '79', '2', '4', '59'
'Small Chicken Platter', '13', '356', '471', '65', '7', '2', '0', '163', '926', '61', '1', '2', '40'
'Regular Beef Gyro Platter', '18', '521', '939', '320', '36', '16', '1', '107', '2700', '113', '2', '4', '41'
'Small Beef Gyro Platter', '13', '356', '665', '217', '24', '11', '1', '71', '1862', '83', '1', '2', '28'
'Regular Combo Platter', '18', '521', '794', '206', '23', '10', '1', '176', '1998', '96', '2', '4', '50'
'Small Combo Platter', '13', '357', '572', '142', '16', '6', '0', '117', '1401', '73', '1', '3', '34'
'Regular Falafel Platter', '19', '536', '1049', '375', '42', '7', '0', '0', '1968', '139', '22', '6', '29'
'Small Falafel Platter', '18', '499', '914', '306', '34', '6', '0', '0', '1686', '126', '18', '6', '25'
'Regular Chicken-Falafel Platter', '19', '536', '884', '265', '30', '5', '0', '122', '1716', '109', '14', '5', '45'
'Small Chicken-Falafel Platter', '14', '386', '648', '182', '20', '4', '0', '82', '1239', '85', '10', '4', '32'
'Regular Beef Gyro - Falafel Platter', '19', '536', '1030', '378', '42', '12', '1', '53', '2418', '126', '14', '5', '36'
'Small Beef Gyro-Falafel Platter', '14', '386', '745', '258', '29', '8', '0', '36', '1707', '96', '10', '4', '26'
'Chicken Sandwich', '10', '278', '419', '66', '7', '2', '0', '163', '904', '47', '2', '4', '41'
'Beef Gyre Sandwich', '10', '278', '613', '218', '24', '11', '1', '71', '1840', '69', '2', '4', '29'
'Combo Sandwich', '10', '278', '516', '142', '16', '7', '0', '117', '1372', '58', '2', '4', '35'
'Falafel Sandwich', '10', '276', '641', '232', '26', '4', '0', '0', '1259', '82', '14', '5', '20'
'Chicken-Falafel Sandwich', '10', '295', '597', '183', '20', '4', '0', '82', '1222', '71', '10', '5', '32'
'Beef Gyro - Falafel Sandwich', '10', '295', '694', '259', '29', '8', '0', '36', '1690', '82', '10', '5', '26'
'Hummus', '6', '170', '377', '212', '24', '4', '0', '0', '756', '29', '13', '0', '12'
'Baba Ghamoush', '6', '170', '187', '128', '14', '2', '0', '0', '678', '11', '1', '0', '4'
'Tabbouleh', '6', '170', '68', '0', '0', '0', '0', '0', '346', '15', '4', '1', '3'
'Tahini', '6', '170', '481', '54', '6', '2', '0', '0', '864', '91', '4', '6', '16'
'Falafel - (per 2 pieces)', '3', '74', '269', '138', '15', '2', '0', '0', '564', '25', '8', '1', '8'
'French Fries', '10', '283', '839', '320', '35', '6', '0', '0', '1170', '121', '12', '0', '9'
'Pita - (Whole Loaf)', '3', '79', '225', '25', '3', '1', '0', '0', '403', '42', '2', '3', '8'
'Baklava', '2', '51', '230', '92', '10', '3', '0', '1', '89', '32', '4', '17', '3'
'Green Peppers', '1', '28', '5', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0'
'Onions', '1', '28', '8', '0', '0', '0', '0', '0', '5', '2', '1', '0', '0'
'Olives', '1', '28', '49', '38', '4', '1', '0', '0', '547', '2', '2', '0', '0'
'Jalapenos', '1', '28', '5', '0', '0', '0', '0', '0', '247', '1', '1', '0', '0'
'Tahini', '1', '28', '92', '68', '8', '1', '0', '0', '46', '3', '3', '0', '3'
