Calories (g), Calories/Fat (g), Total Fat (g), Saturated Fat (g), Cholesterol (mg), Trans Fat (g), Sodium (mg), Total Carbs (g), Sugars (g), Dietary Fiber (g), Protein (g), Vitamin A, Vitamin C, Calcium, Iron
'#1 BACON EGG & CHEESE ON CORN NO SAUCE', 425.0, 225.0, 25.0, 9.0, 289.0, 0.0, 841.0, 26.0, 1.0, 0.0, 23.0, 4.0, 0.0, 14.0, 9.0
'#1 BACON EGG & CHEESE ON FLOUR NO SAUCE', 405.0, 243.0, 27.0, 9.0, 289.0, 0.0, 1021.0, 16.0, 2.0, 0.0, 24.0, 4.0, 0.0, 14.0, 9.0
'#2 POTATO - EGG & CHEESE ON CORN NO SAUCE', 354.0, 153.0, 17.0, 6.0, 265.0, 0.0, 411.0, 36.0, 2.0, 1.0, 16.0, 4.0, 7.0, 14.0, 8.0
'#2 POTATO EGG & CHEESE ON FLOUR NO SAUCE', 334.0, 171.0, 19.0, 6.0, 265.0, 0.0, 591.0, 26.0, 3.0, 1.0, 17.0, 4.0, 7.0, 14.0, 8.0
'#3 CHORIZO EGG & CHEESE ON CORN NO SAUCE', 430.0, 234.0, 26.0, 10.0, 290.0, 0.0, 694.0, 26.0, 1.0, 0.0, 22.0, 3.0, 0.0, 14.0, 9.0
'#3 CHORIZO EGG & CHEESE ON FLOUR NO SAUCE', 410.0, 252.0, 28.0, 10.0, 290.0, 0.0, 874.0, 16.0, 2.0, 0.0, 23.0, 3.0, 0.0, 14.0, 9.0
'#4 JALAPEÑO SAUSAGE EGG & CHEESE ON CORN NO SAUCE', 376.0, 198.0, 22.0, 8.0, 283.0, 0.0, 564.0, 26.0, 1.0, 0.0, 19.0, 4.0, 0.0, 15.0, 9.0
'#4 JALAPEÑO SAUSAGE EGG & CHEESE ON FLOUR NO SAUCE', 356.0, 216.0, 24.0, 8.0, 283.0, 0.0, 744.0, 16.0, 2.0, 0.0, 20.0, 4.0, 0.0, 15.0, 9.0
'#5 POTATO BLACK BEAN & CHEESE ON CORN NO SAUCE', 386.0, 72.0, 8.0, 4.0, 16.0, 0.0, 684.0, 65.0, 3.0, 8.0, 16.0, 13.0, 12.0, 16.0, 21.0
'#5 POTATO BLACK BEAN & CHEESE ON FLOUR NO SAUCE', 366.0, 91.0, 10.0, 4.0, 16.0, 0.0, 864.0, 55.0, 4.0, 8.0, 17.0, 13.0, 12.0, 16.0, 21.0
